a	ˈeɪ
academically	ˌækədˈɛmɪkli
academicals	ˌækədˈɛmɪkəlz
academician	ˌækədɪmˈɪʃən
academicism	ˌækədˈɛmɪsˌɪzəm
academism	ɐkˈædəmiˌɪzəm
academist	ˈækədˌɛmɪst
academite	ˈækədˌɛmaɪt
academization	ˌækədˌɛmᵻzˈeɪʃən
academize	ˈækədˌɛmaɪz
academus	ˈækədˌɛməs
academy	ɐkˈædəmi
acadia	ɐkˈeɪdiə
acadialite	ɐkˈeɪdɪəlˌaɪt
acadian	ɐkˈeɪdiən
acadie	ɐkˈeɪdi
acaena	ɐkˈiːnə
acajou	ɐkˈædʒuː
acaleph	ɐkˈælɛf
acalepha	ɐkˈælɛfə
acalephae	ɐkˈælɪfˌiː
acalephan	ɐkˈælɛfən
acalephoid	ɐkˈælɪfˌɔɪd
acalycal	ɐkˈælɪkəl
acalycine	ɐkˈælɪsˌiːn
acalycinous	ɐkɐlˈɪsɪnəs
acalyculate	ɐkɐlˈɪkjʊlˌeɪt
acalypha	ɐkˈælɪfə
acalypterae	ɐkˈælɪptɚɹˌiː
acalyptrata	ɐkˌælɪptɹˈɑːɾə
acalyptratae	ɐkˈælɪptɹˌæɾiː
acalyptrate	ɐkˈælɪptɹˌeɪt
acamar	ɐkˈæmɚ
acampsia	ɐkˈæmpsiə
acana	ɐkˈɑːnə
acanaceous	ɐkɐnˈeɪʃəs
acanonical	ɐkɐnˈɑːnɪkəl
acanth	ɐkˈænθ
acantha	ɐkˈænθə
acanthaceae	ɐkˈænθeɪsˌiː
acanthaceous	ɐkɐnθˈeɪʃəs
acanthad	ɐkˈænθæd
acantharia	ɐkɐnθˈɛɹiə
acanthia	ɐkˈænθiə
acanthial	ɐkˈænθɪəl
acanthin	ɐkˈænθɪn
acanthine	ɐkˈænθaɪn
acanthion	ɐkˈænθiən
acanthite	ɐkˈænθaɪt
acanthocarpous	ɐkˌænθəkˈɑːɹpəs
acanthocephala	ɐkˌænθoʊsfˈɑːlə
acanthocephalan	ɐkˈænθoʊsfˌælæn
acanthocephali	ɐkˌænθoʊsfˈɑːli
acanthocephalous	ɐkˈænθoʊsfələs
acanthocereus	ɐkɐnθˈoʊsɹɪəs
acanthocladous	ɐkˌænθəklˈædəs
acanthodea	ɐkɐnθˈoʊdiə
acanthodean	ɐkɐnθˈoʊdiən
acanthodei	ɐkˈænθoʊdˌaɪ
acanthodes	ɐkˈænθoʊdz
acanthodian	ɐkɐnθˈoʊdiən
acanthodidae	ɐkˈænθədˌɪdiː
acanthodii	ɐkˈænθoʊdˌɪaɪ
acanthodini	ɐkˌænθədˈiːni
acanthoid	ɐkˈænθɔɪd
acantholimon	ɐkˈænθəlˌɪmən
acanthological	ɐkˌænθəlˈɑːdʒɪkəl
acanthology	ɐkɐnθˈɑːlədʒi
acantholysis	ɐkɐnθˈɑːləsˌɪs
acanthoma	ɐkɐnθˈoʊmə
acanthomeridae	ɐkˈænθoʊmɹˌɪdiː
acanthon	ɐkˈænθən
acanthopanax	ɐkˈænθəpˌænæks
acanthophis	ɐkɐnθˈɑːfɪz
acanthophorous	ɐkˈænθəfɚɹəs
acanthopod	ɐkˈænθəpˌɑːd
acanthopodous	ɐkˌænθəpˈɑːdəs
acanthopomatous	ɐkˌænθəpəmˈæɾəs
acanthopore	ɐkˈænθəpˌɔːɹ
acanthopteran	ɐkˈænθəptɚɹən
acanthopteri	ɐkˈænθəptɚɹi
acanthopterous	ɐkɐnθˈɑːptɚɹəs
acanthopterygian	ɐkˈænθəptɚɹˌɪdʒən
acanthopterygii	ɐkˈænθəptɚɹˌɪdʒɪˌaɪ
acanthosis	ɐkɐnθˈoʊsɪs
acanthous	ɐkˈænθəs
acanthuridae	ɐkˈænθjʊɹɹˌɪdiː
acanthurus	ɐkˈænθjʊɹɹəs
acanthus	ɐkˈænθəs
acapnia	ɐkˈæpniə
acapnial	ɐkˈæpnɪəl
acapsular	ɐkˈæpsjʊlɚ
acapu	ɐkˈɑːpuː
acapulco	ɐkɐpˈʌlkoʊ
acara	ɐkˈɑːɹɹə
acarapis	ɐkˈæɹæpiz
acardia	ɐkˈɑːɹdiə
acardiac	ɐkˈɑːɹdiˌæk
acari	ɐkˈæɹi
acarian	ɐkˈɛɹiən
acariasis	ɐkˌæɹɪˈɑːsiz
acaricidal	ɐkˌæɹɪsˈaɪdəl
acaricide	ɐkˈæɹɪsˌaɪd
acarid	ɐkˈæɹɪd
acarida	ɐkˈæɹɪdə
acaridea	ɐkɐɹˈaɪdiə
acaridean	ɐkɐɹˈaɪdiən
acaridomatium	ɐkˌæɹɪdəmˈeɪɾiəm
acariform	ɐkˈæɹɪfˌɔːɹm
acarina	ɐkɐɹˈiːnə
acarine	ɐkˈæɹiːn
acarinosis	ɐkˌæɹɪnˈoʊsɪs
acarocecidium	ɐkˌæɹoʊssˈɪdiəm
acarodermatitis	ɐkˌæɹoʊdɚmɐtˈaɪɾɪs
acaroid	ɐkˈæɹɔɪd
acarol	ɐkɚɹˈɑːl
acarologist	ɐkɚɹˈɑːlədʒˌɪst
acarology	ɐkɚɹˈɑːlədʒi
acarophilous	ɐkˈæɹəfˌɪləs
acarophobia	ɐkˌæɹəfˈoʊbiə
acarotoxic	ɐkˌæɹoʊtˈɑːksɪk
acarpelous	ɐkˈɑːɹpələs
acarpous	ɐkˈɑːɹpəs
acarus	ɐkˈɑːɹɹəs
acastus	ɐkˈæstəs
acatalectic	ɐkɐtˈeɪlktɪk
acatalepsia	ɐkˌæɾeɪlˈɛpsiə
acatalepsy	ɐkˈæɾeɪlˌɛpsi
acataleptic	ɐkˌæɾeɪlˈɛptɪk
acatallactic	ɐkˌæɾɐlˈæktɪk
acatamathesia	ɐkˌæɾɐmɐθˈiːʒə
acataphasia	ɐkˌæɾɐfˈeɪʒə
acataposis	ɐkˌæɾɐpˈoʊsɪs
acatastasia	ɐkˌæɾeɪstˈeɪʒə
acatastatic	ɐkˌæɾeɪstˈæɾɪk
acate	ɐkˈeɪt
acategorical	ɐkˌæɾɪɡˈɔːɹɪkəl
acatery	ɐkˈætˌɛɹi
acatharsia	ɐkɐθˈɑːɹsiə
acatharsy	ɐkˈæθɑːɹsi
acatholic	ɐkɐθˈɑːlɪk
acaudal	ɐkˈɔːdəl
acaudate	ɐkˈɔːdeɪt
acaulescent	ɐkəlˈɛsənt
acauline	ɐkˈɑːlɪn
acaulose	ɐkˈɔːloʊs
acaulous	ɐkˈɔːləs
acca	ɐkˈæ
accede	ɐksˈiːd
accedence	ɐksˈɛdəns
acceder	ɐkstɚ
accelerable	ɐksˈɛlɚɹəbəl
accelerando	ɐksˌɛlɚɹˈændoʊ
accelerant	ɐksˈɛlɚɹənt
accelerate	ɐksˈɛlɚɹˌeɪt
accelerated	ɐksˈɛlɚɹˌeɪɾᵻd
acceleratedly	ɐksˈɛlɚɹˌeɪɾɪdli
acceleration	ɐksˌɛlɚɹˈeɪʃən
accelerative	ɐksˈɛlɚɹətˌɪv
accelerator	ɐksˈɛlɚɹˌeɪɾɚ
acceleratory	ɐksˈɛlɚɹətˌɔːɹi
accelerograph	ɐksˈɛlɚɹˌɑːɡɹæf
accelerometer	ɐksˌɛlɚɹˈɑːmɪɾɚ
accend	ɐksˈɛnd
accendibility	ɐksˌɛndəbˈɪlᵻɾi
accendible	ɐksˈɛndᵻbəl
accension	ɐksˈɛnʃən
accensor	ɐksˈɛnsɚ
accent	ˈæksənt
accentless	ˈæksəntləs
accentor	ˈæksəntˌɔːɹ
accentuable	æksˈɛntuːəbəl
accentual	æksˈɛntʃuːəl
accentuality	æksˈɛntʃuːˈælᵻɾi
accentually	æksˈɛntʃuːəli
accentuate	æksˈɛntʃuːˌeɪt
accentuation	æksˈɛntʃuːˈeɪʃən
accentuator	æksˈɛntʃuːˌeɪɾɚ
accentus	æksˈɛntəs
accept	ɐksˈɛpt
acceptability	ɐksˌɛptəbˈɪlᵻɾi
acceptable	ɐksˈɛptəbəl
acceptableness	ɐksˈɛptəbəlnəs
acceptably	ɐksˈɛptəbli
acceptance	ɐksˈɛptəns
acceptancy	ɐksˈɛptənsi
acceptant	ɐksˈɛptənt
acceptation	ɐksɪptˈeɪʃən
accepted	ɐksˈɛptᵻd
acceptedly	ɐksˈɛptᵻdli
accepter	ɐksˈɛptɚ
acceptilate	ɐksˈɛptᵻlˌeɪt
acceptilation	ɐksˌɛptɪlˈeɪʃən
acception	ɐksˈɛpʃən
acceptive	ɐksˈɛptɪv
acceptor	ɐksˈɛptɚ
acceptress	ɐksˈɛptɹəs
accerse	ɐksˈɜːs
accersition	ɐksɚsˈɪʃən
accersitor	ɐksˈɜːsɪɾɚ
access	ˈæksɛs
accessarily	ɐksɪsˈɛɹᵻli
accessariness	ɐksˈɛsɚɹinəs
accessary	ɐksˈɛsɚɹi
accessaryship	ɐksˈɛsɚɹiʃˌɪp
accessibility	æksˌɛsəbˈɪlᵻɾi
accessible	æksˈɛsəbəl
accessibly	æksˈɛsəbli
accession	ɐksˈɛʃən
accessional	ɐksˈɛʃənəl
accessioner	ɐksˈɛʃənɚ
accessive	ɐksˈɛsɪv
accessively	ɐksˈɛsɪvli
accessless	ˈæksɛsləs
accessorial	ɐksɪsˈɔːɹɪəl
accessorily	ɐksˈɛsɔːɹəli
accessoriness	ɐksˈɛsɚɹinəs
accessorius	ɐksɪsˈɔːɹɪəs
accessory	ɐksˈɛsɚɹi
accidence	ˈæksɪdəns
accidency	ˈæksɪdənsi
accident	ˈæksɪdənt
accidental	ˌæksɪdˈɛntəl
accidentalism	ˌæksɪdˈɛntəlˌɪzəm
accidentalist	ˌæksɪdˈɛntəlˌɪst
accidentality	ˌæksɪdˈɛntˈælᵻɾi
accidentally	ˌæksɪdˈɛntəli
accidentalness	ˌæksɪdˈɛntəlnəs
accidented	ˈæksɪdəntᵻd
accidential	ˌæksɪdˈɛnʃəl
accidentiality	ˌæksɪdˈɛnʃɪˈælᵻɾi
accidently	ˈæksɪdəntli
accidia	æksˈɪdiə
accidie	ˈæksɪdi
accinge	ɐkˈɪndʒ
accipient	ɐkˈɪpiənt
accipiter	ɐkˈɪpɪɾɚ
accipitral	ɐkˈɪpɪtɹəl
accipitrary	ɐkˈɪpɪtɹˌɛɹi
accipitres	ɐkˈɪpɪɾɚz
accipitrine	ɐkˈɪpɪtɹˌiːn
accismus	ɐkˈɪsməs
accite	ɐkˈaɪt
acclaim	ɐklˈeɪm
acclaimable	ɐklˈeɪməbəl
acclaimer	ɐklˈeɪmɚ
acclamation	ɐklɐmˈeɪʃən
acclamator	ɐklˈæmeɪɾɚ
acclamatory	ɐklˈæmətˌɔːɹi
acclimatable	ˈækləmˌeɪɾəbəl
acclimatation	ɐklˌaɪmɐtˈeɪʃən
acclimate	ˈækləmˌeɪt
acclimatement	ˈækləmˌeɪtmənt
acclimation	ɐklaɪmˈeɪʃən
acclimatizable	ɐklˈaɪmɐtˌaɪzəbəl
acclimatization	ɐklˌaɪmɐɾᵻzˈeɪʃən
acclimatize	ɐklˈaɪmɐtˌaɪz
acclimatizer	ɐklˈaɪmɐtˌaɪzɚ
acclimature	ɐklˈaɪmətʃˌʊɹ
acclinal	ɐklˈɪnəl
acclinate	ɐklᵻnˈeɪt
acclivitous	ɐklˈɪvɪɾəs
acclivity	ɐklˈɪvᵻɾi
acclivous	ɐklˈɪvəs
accloy	ɐklˈɔɪ
accoast	ɐkˈoʊst
accoil	ɐkˈɔɪl
accolade	ˈækəlˌeɪd
accoladed	ˈækəlˌeɪdᵻd
accolated	ˈækəlˌeɪɾᵻd
accolent	ˈækələnt
accolle	ˈækɑːl
accombination	ɐkˌɑːmbᵻnˈeɪʃən
accommodable	ɐkˈɑːmoʊdəbəl
accommodableness	ɐkˈɑːmoʊdəbəlnəs
accommodate	ɐkˈɑːmədˌeɪt
accommodately	ɐkˈɑːmədˌeɪtli
accommodateness	ɐkˈɑːmədˌeɪtnəs
accommodating	ɐkˈɑːmədˌeɪɾɪŋ
accommodatingly	ɐkˈɑːmədˌeɪɾɪŋli
accommodation	ɐkˌɑːmədˈeɪʃən
accommodational	ɐkˌɑːmədˈeɪʃənəl
accommodative	ɐkˈɑːmədətˌɪv
accommodativeness	ɐkˈɑːmədətˌɪvnəs
accommodator	ɐkˈɑːmədˌeɪɾɚ
accompanier	ɐkˈʌmpəniɚ
accompaniment	ɐkˈʌmpɐnˌɪmənt
accompanimental	ɐkˌʌmpɐnɪmˈɛntəl
accompanist	ɐkˈʌmpɐnˌɪst
accompany	ɐkˈʌmpəni
accompanyist	ɐkˈʌmpɐnˌɪɪst
accompletive	ɐkˈɑːmplɪtˌɪv
accomplice	ɐkˈɑːmplɪs
accompliceship	ɐkˈɑːmplɪsʃˌɪp
accomplicity	ɐkəmplˈɪsᵻɾi
accomplish	ɐkˈɑːmplɪʃ
accomplishable	ɐkˈɑːmplɪʃəbəl
accomplished	ɐkˈɑːmplɪʃt
accomplisher	ɐkˈɑːmplɪʃɚ
accomplishment	ɐkˈɑːmplɪʃmənt
accomplisht	ɐkˈɑːmplɪʃt
accompt	ɐkˈɑːmpt
accord	ɐkˈɔːɹd
accordable	ɐkˈɔːɹdəbəl
accordance	ɐkˈɔːɹdəns
accordancy	ɐkˈɔːɹdənsi
accordant	ɐkˈɔːɹdənt
accordantly	ɐkˈɔːɹdəntli
accorder	ɐkˈɔːɹdɚ
according	ɐkˈɔːɹdɪŋ
accordingly	ɐkˈɔːɹdɪŋli
accordion	ɐkˈɔːɹdiən
accordionist	ɐkˈɔːɹdɪənˌɪst
accorporate	ɐkˈɔːɹpɚɹˌeɪt
accorporation	ɐkˌɔːɹpɚɹˈeɪʃən
accost	ɐkˈɔst
accostable	ɐkˈɔstəbəl
accosted	ɐkˈɔstᵻd
accouche	ɐkˈaʊtʃ
accouchement	ɐkˈuːʃmɔ̃
accoucheur	ɐkaʊtʃˈʊɹ
accoucheuse	ɐkˈaʊtʃjuːs
account	ɐkˈaʊnt
accountability	ɐkˌaʊntəbˈɪlᵻɾi
accountable	ɐkˈaʊntəbəl
accountableness	ɐkˈaʊntəbəlnəs
accountably	ɐkˈaʊntəbli
accountancy	ɐkˈaʊntənsi
accountant	ɐkˈaʊntənt
accountantship	ɐkˈaʊntəntʃˌɪp
accounting	ɐkˈaʊntɪŋ
accountment	ɐkˈaʊntmənt
accouple	ɐkˈʌpəl
accouplement	ɐkˈʌplɪmənt
accouter	ɐkˈuːɾɚ
accouterment	ɐkˈuːɾɚmənt
accoy	ɐkˈɔɪ
accredit	ɐkɹˈɛdɪt
accreditate	ɐkɹˈɛdɪtˌeɪt
accreditation	ɐkɹˌɛdɪtˈeɪʃən
accredited	ɐkɹˈɛdɪɾᵻd
accreditment	ɐkɹˈɛdɪtmənt
accrementitial	ɐkɹˈɪməntˌɪʃəl
accrementition	ɐkɹˌɪməntˈɪʃən
accresce	ɐkɹˈɛs
accrescence	ɐkɹˈɛsəns
accrescent	ɐkɹˈɛsənt
accretal	ɐkɹˈɛɾəl
accrete	ɐkɹˈiːt
accretion	ɐkɹˈɛʃən
accretionary	ɐkɹˈɛʃənˌɛɹi
accretive	ɐkɹˈɛɾɪv
accroach	ɐkɹˈoʊtʃ
accroides	ɐkɹˈɔɪdz
accrual	ɐkɹˈuːəl
accrue	ɐkɹˈuː
accruement	ɐkɹˈuːmənt
accruer	ɐkɹˈuːɚ
accubation	ɐkjuːbˈeɪʃən
accubitum	ɐkjˈuːbaɪɾəm
accubitus	ɐkjˈuːbɪɾəs
accultural	ɐkˈʌltʃɚɹəl
acculturate	ɐkˈʌltʃɚɹˌeɪt
acculturation	ɐkˌʌltʃɚɹˈeɪʃən
acculturize	ɐkˈʌltʃɚɹˌaɪz
accumbency	ɐkˈʌmbənsi
accumbent	ɐkˈʌmbənt
accumber	ɐkˈʌmbɚ
accumulable	ɐkjˈuːmjuːləbəl
accumulate	ɐkjˈuːmjʊlˌeɪt
accumulation	ɐkjˌuːmjʊlˈeɪʃən
accumulativ	ɐkjˈuːmjʊlˌæɾɪv
accumulative	ɐkjˈuːmjʊlətˌɪv
accumulatively	ɐkjˈuːmjʊlətˌɪvli
accumulativeness	ɐkjˈuːmjʊlətˌɪvnəs
accumulator	ɐkjˈuːmjʊlˌeɪɾɚ
accuracy	ˈækjʊɹəsi
accurate	ˈækjʊɹət
accurately	ˈækjʊɹətli
accurateness	ˈækjʊɹətnəs
accurse	ɐkˈɜːs
accursed	ɐkˈɜːsᵻd
accursedly	ɐkˈɜːsᵻdli
accursedness	ɐkˈɜːsᵻdnəs
accusable	ɐkjˈuːzəbəl
accusably	ɐkjˈuːzəbli
accusal	ɐkjˈuːzəl
accusant	ɐkjˈuːzənt
accusation	ˌækjuːzˈeɪʃən
accusatival	ɐkjˈuːzɐtˌɪvəl
accusative	ɐkjˈuːzətˌɪv
accusatively	ɐkjˈuːzətˌɪvli
accusatorial	ɐkjˌuːzɐtˈɔːɹɪəl
accusatorially	ɐkjˌuːzɐtˈɔːɹɪəli
accusatory	ɐkjˈuːzətˌɔːɹi
accusatrix	ɐkjuːzˈeɪtɹɪks
accuse	ɐkjˈuːz
accused	ɐkjˈuːzd
accuser	ɐkjˈuːzɚ
accusingly	ɐkjˈuːzɪŋli
accusive	ɐkjˈuːzɪv
accustom	ɐkˈʌstəm
accustomed	ɐkˈʌstəmd
accustomedly	ɐkˈʌstoʊmˌɪdli
accustomedness	ɐkˈʌstəmdnəs
ace	ˈeɪs
aceacenaphthene	ɐsˈiːsənˌæfθiːn
aceanthrene	ɐsˈiːnθɹɛn
aceanthrenequinone	ɐsˈiːnθɹənˌɛkwɪnˌɑːn
acecaffine	ɐsˈɛkɐfˌaɪn
aceconitic	ɐsˌɛkənˈɪɾɪk
acedia	ɐsˈiːdiə
acediamine	ɐsɪdˈɪɐmˌiːn
acediast	ɐsˈɛdɪˌæst
acedy	ɐsˈɛdi
aceldama	ɐsɪldˈɑːmə
acemetae	ɐsˈɛmɪtˌiː
acemetic	ɐsɪmˈɛɾɪk
acenaphthene	ɐsˈɛnɐfθˌiːn
acenaphthenyl	ɐsˈɛnɐfθˌɛnaɪl
acenaphthylene	ɐsənˈæfθɪlˌiːn
acentric	ɐsˈɛntɹɪk
acentrous	ɐsˈɛntɹəs
aceologic	ɐsɪəlˈɑːdʒɪk
aceology	ɐsɪˈɑːlədʒi
acephal	ɐsˈɛfəl
acephala	ɐsɪfˈɑːlə
acephalan	ɐsˈɛfɐlˌæn
acephali	ɐsɪfˈɑːli
acephalia	ɐsɪfˈeɪliə
acephalina	ɐsˌɛfɐlˈiːnə
acephaline	ɐsˈɛfəlˌaɪn
acephalism	ɐsˈɛfəlˌɪzəm
acephalist	ɐsˈɛfəlˌɪst
acephalite	ɐsˈɛfəlˌaɪt
acephalocyst	ɐsˈɛfɐlˌɑːsɪst
acephalous	ɐsˈɛfələs
acephalus	ɐsˈɛfæləs
acer	ˈeɪsɚ
aceraceae	ɐsˈɜːɹeɪsˌiː
aceraceous	ɐsɚɹˈeɪʃəs
acerae	ɐsˈɜːɹiː
acerata	ɐsɚɹˈɑːɾə
acerate	ɐsˈɜːɹeɪt
acerates	ɐsˈɜːɹeɪts
acerathere	ɐsˈɜːɹæðɚ
aceratherium	ɐsˌɜːɹɐθˈɜːɹiəm
aceratosis	ɐsˌɜːɹɐtˈoʊsɪs
acerb	ˈæsɜːb
acerbas	ˈæsɚbəz
acerbate	ˈæsɚbˌeɪt
acerbic	ɐsˈɜːbɪk
acerbity	ɐsˈɜːbᵻɾi
acerdol	ɐsˈɜːdɑːl
acerin	ɐsˈɛɹɪn
acerose	ɐsˈɜːɹoʊz
acerous	ɐsˈɜːɹəs
acerra	ɐsˈɛɹə
acertannin	ɐsˈɜːtɐnˌɪn
acervate	ɐsˈɜːveɪt
acervately	ɐsˈɜːveɪtli
acervation	ɐsɚvˈeɪʃən
acervative	ɐsˈɜːvətˌɪv
acervose	ɐsˈɜːvoʊs
acervuline	ɐsˈɜːvjʊlˌɪn
acervulus	ɐsˈɜːvjʊləs
acescence	ɐsˈɛsəns
acescency	ɐsˈɛsənsi
acescent	ɐsˈɛsənt
aceship	ˈeɪsʃɪp
acesodyne	ɐsˈɛsədˌaɪn
acestes	ɐsˈɛsts
acetabular	ˌæsɪtˈæbjʊlɚ
acetabularia	ˌæsɪtˈæbjʊlˈɛɹiə
acetabuliferous	ˌæsɪtˌæbjʊlˈɪfɚɹəs
acetabuliform	ˈæsɪtˌæbjʊlˌɪfɔːɹm
acetabulous	ˌæsɪtˈæbjʊləs
acetabulum	ˌæsɪtˈæbjʊləm
acetacetic	ˌæsɪɾɐsˈɛɾɪk
acetal	ˈæsɪɾəl
acetaldehydase	ˌæsɪtˈældɪhˌɪdeɪs
acetaldehyde	ˌæsɪtˈældɪhˌaɪd
acetaldehydrase	ˌæsɪtˈældɪhˌaɪdɹeɪz
acetalization	ˌæsɪɾəlᵻzˈeɪʃən
acetalize	ˈæsɪɾəlˌaɪz
acetamide	ˈæsɪtˌæmaɪd
acetamidin	ˈæsɪtˌæmɪdˌɪn
acetamidine	ˈæsɪtˌæmɪdˌiːn
acetamido	ˌæsɪɾɐmˈiːdoʊ
acetaminol	ˈæsɪtˌæmɪnˌɑːl
acetanilid	ˈæsɪtˌænɪlˌɪd
acetanilide	ˈæsɪtˌænɪlˌaɪd
acetanion	ˌæsɪtˈæniən
acetaniside	ˈæsɪtˌænɪsˌaɪd
acetanisidide	ˈæsɪtˌænɪsˌɪdaɪd
acetannin	ˈæsɪtˌænɪn
acetarious	ˌæsɪtˈɛɹiəs
acetarsone	ˈæsɪtˌɑːɹsoʊn
acetate	ˈæsɪtˌeɪt
acetated	ˈæsɪtˌeɪɾᵻd
acetation	ˌæsɪtˈeɪʃən
acetbromamide	ˈæsɪtbɹˌɑːmɐmˌaɪd
acetenyl	ˈæsɪtˌɛnaɪl
acethydrazide	ˈæsɪθˌaɪdɹeɪzˌaɪd
acetic	ɐsˈiːɾɪk
acetification	ɐsˌiːɾɪfɪkˈeɪʃən
acetifier	ɐsˈiːɾɪfˌaɪɚ
acetify	ɐsˈiːɾᵻfˌaɪ
acetimeter	ɐsiːtˈɪmᵻɾɚ
acetimetry	ɐsiːtˈɪmətɹi
acetin	ɐsˈiːtɪn
acetize	ɐsˈiːɾaɪz
acetmethylanilide	ˈæsɪtmˌɛθɪlˌænɪlˌaɪd
acetnaphthalide	ˈæsɪtnˌæfθəlˌaɪd
acetoacetanilide	ˈæsɪtˌoʊsɪtˌænɪlˌaɪd
acetoacetate	ˈæsɪtˌoʊsɪtˌeɪt
acetoacetic	ˌæsɪɾoʊsˈɛɾɪk
acetoamidophenol	ˈæsɪtˌoʊmɪdˌɑːfənˌɑːl
acetoarsenite	ˈæsɪtˌɔːɹsənˌaɪt
acetobacter	ˈæsɪtˌɑːbæktɚ
acetobenzoic	ˌæsɪtˌoʊbɛnzˈoʊɪk
acetobromanilide	ˈæsɪtˌɑːbɹoʊmˌænɪlˌaɪd
acetochloral	ˈæsɪtˌɑːklɔːɹəl
acetocinnamene	ˈæsɪtˌɑːsɪnˌeɪmiːn
acetoin	ˈæsɪtˌɔɪn
acetol	ˈæsɪtˌɑːl
acetolysis	ˌæsɪtˈɑːləsˌɪs
acetolytic	ˌæsɪɾəlˈɪɾɪk
acetometer	ˌæsɪtˈɑːmɪɾɚ
acetometrical	ˌæsɪɾoʊmˈɛtɹɪkəl
acetometrically	ˌæsɪɾoʊmˈɛtɹɪkli
acetometry	ˌæsɪtˈɑːmətɹi
acetomorphine	æsˈɪɾəmˌɔːɹfiːn
acetonaphthone	ˈæsɪtˌɑːnɐfθˌoʊn
acetonate	ˈæsɪtˌɑːneɪt
acetonation	ˌæsɪtənˈeɪʃən
acetone	ˈæsɪtˌoʊn
acetonemia	ˌæsɪtoʊnˈiːmiə
acetonemic	ˌæsɪtənˈɛmɪk
acetonic	ˌæsɪtˈɑːnɪk
acetonitrile	ˈæsɪtˌɑːnaɪtɹˌaɪl
acetonization	ˌæsɪtˌɑːnᵻzˈeɪʃən
acetonize	ˈæsɪtˌɑːnaɪz
acetonuria	ˌæsɪtənjˈʊɹɹiə
acetonurometer	ˌæsɪtˌɑːnjʊɹɹˈɑːmɪɾɚ
acetonyl	ˈæsɪtˌɑːnaɪl
acetonylacetone	ˈæsɪtˌɑːnɪlˌæsɪtˌoʊn
acetonylidene	ˈæsɪtˌɑːnɪlˌaɪdiːn
acetophenetide	ˈæsɪtˌɑːfənˌɛɾaɪd
acetophenin	ˈæsɪtˌɑːfənˌɪn
acetophenine	ˈæsɪtˌɑːfənˌiːn
acetophenone	ˈæsɪtˌɑːfənˌɑːn
acetopiperone	ˌæsɪɾəpˈɪpɚɹˌoʊn
acetopyrin	ˈæsɪtˌɑːpɪɹˌɪn
acetosalicylic	ˌæsɪtˌɑːzɐlɪsˈɪlɪk
acetose	ˈæsɪtˌoʊs
acetosity	ˌæsɪtˈɔsᵻɾi
acetosoluble	ˈæsɪtˌɑːsəlˌʌbəl
acetothienone	ˈæsɪtˌɑːθiənˌɑːn
acetotoluide	ˈæsɪtˌɑːɾəljˌuːaɪd
acetotoluidine	ˈæsɪtˌɑːɾəljˌuːɪdˌiːn
acetous	æsˈɪɾəs
acetoveratrone	ˈæsɪtˌoʊvɚɹˌætɹoʊn
acetoxime	ˈæsɪtˌɑːksaɪm
acetoxyl	ˈæsɪtˌɑːksɪl
acetoxyphthalide	ˈæsɪtˌɑːksɪfθəlˌaɪd
acetphenetid	ˈæsɪtfˌɛnɪtˌɪd
acetphenetidin	ˈæsɪtfˌɛnɪtˌɪdɪn
acetract	ˈæsɪtɹˌækt
acettoluide	ˈæsɪtˌɑːljuːˌaɪd
acetum	ˈæsɪɾəm
aceturic	æsˈɪtʃɚɹˌɪk
acetyl	ˈæsɪtˌaɪl
acetylacetonates	ˈæsɪtˌɪlɐsˌɛtənˌeɪts
acetylacetone	ˈæsɪtˌɪlɐsˌɛtoʊn
acetylamine	ˌæsɪtˈɪlɐmˌiːn
acetylate	ˈæsɪtˌɪleɪt
acetylation	ˌæsɪɾɪlˈeɪʃən
acetylator	ˈæsɪtˌɪleɪɾɚ
acetylbenzene	ˈæsɪtˌɪlbɛnzˌiːn
acetylbenzoate	ˈæsɪtˌɪlbɛnzˌoʊt
acetylbenzoic	ˌæsɪtˌɪlbɛnzˈoʊɪk
acetylbiuret	ˈæsɪtˌɪlbɪjˌuːɹət
acetylcarbazole	ˈæsɪtˌɪlkɑːɹbˌæzoʊl
acetylcellulose	ˈæsɪtˌɪlsɪljˌuːloʊs
acetylcholine	ˈæsɪtˌɪlkəlˌiːn
acetylcyanide	ˈæsɪtˌɪlsɪˌænaɪd
acetylenation	ˌæsɪtˌaɪlənˈeɪʃən
acetylene	ɐsˈɛɾəlˌiːn
acetylenediurein	ˈæsɪtˌaɪlnɪdˌɪjuːɹˌiːn
acetylenic	ˌæsɪtˈaɪlnɪk
acetylenyl	ˈæsɪtˌaɪlnaɪl
acetylfluoride	ˈæsɪtˌɪlflʊɹɹˌaɪd
acetylglycine	ˈæsɪtˌɪlɡlɪsˌiːn
acetylhydrazine	ˈæsɪtˌɪlhaɪdɹˌeɪziːn
acetylic	ˌæsɪtˈɪlɪk
acetylide	ˈæsɪtˌɪlaɪd
acetyliodide	ˈæsɪtˌɪlɪˌɑːdaɪd
acetylizable	ˈæsɪtˌɪlaɪzəbəl
acetylization	ˌæsɪtˌɪlᵻzˈeɪʃən
acetylize	ˈæsɪtˌaɪlaɪz
acetylizer	ˈæsɪtˌɪlaɪzɚ
acetylmethylcarbinol	ˈæsɪtˌɪlmɪθəlkˌɑːɹbɪnˌɑːl
acetylperoxide	ˌæsɪtˌɪlpɚɹˈɑːksaɪd
